algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,10,2.743777113037017,0.7275627307593823,0.8501997059583664,nan,0.7493914539615313,4.450896248817444,1000.0,nan,nan,0,0,0,11542,0.951427253584067,0.9149976980686187,0.9481475665520258,2.6639585192847846,0.9487878564898677,0.9817506814426633,214.07758649190268,221.43693054199218,2938.3774720963424,2248.0268042911325,5.2945791482925415,13.740477056503297,38.75,106.12,9.840409658477004,25.53780373318273,0.9487878564898677,0.9817506814426633,214.07758649190268,221.43693054199218,1.2913097570985776,1.1775191700821985,0.9220485797812862,0.9753707798388965,54.563110260009765,590.6474795188509
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,11,2.794443401601993,0.7321679808199406,0.8252441756427288,nan,0.8150675420959791,4.704748549461365,1000.0,nan,nan,0,0,0,11890,0.9155693153540293,0.9073262685537338,1.0169491323419628,2.713609234160399,0.9714700246688451,0.9788544273713968,219.05832799275717,220.87365615844726,3209.4151928250303,2223.6892003724834,5.330600877602895,15.832334499359131,45.708333333333336,107.93,9.841529612356357,29.230173555638977,0.9714700246688451,0.9788544273713968,219.05832799275717,220.87365615844726,1.3562811527056502,1.185248270009613,0.9089216969666942,0.9774251881386448,54.689530975341796,598.789769330098
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,12,2.862165408883869,0.7360212297737598,0.8039945212006568,nan,0.7184181342954221,4.943600797653199,1000.0,nan,nan,0,0,0,12078,0.8872497314992158,0.900462253689766,1.091952644483036,2.7662305492067327,0.98692095409585,0.9752024981444718,222.56800842285156,220.06593658447267,3454.9950786573154,2164.35243118727,5.336771882098654,18.078801555633547,52.08695652173913,108.8,9.787455039203708,33.15589672887923,0.98692095409585,0.9752024981444718,222.56800842285156,220.06593658447267,1.4268082254277756,1.1897600812140663,0.8979916194590126,0.9773937541353801,54.2513157043457,591.8002598556906
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,13,2.959687775358642,0.7400184811651707,0.7852643297612667,nan,0.8393624544143676,5.173215594291687,1000.0,nan,nan,0,0,0,10552,0.8971294432878494,0.8950880044698715,1.1371302966479597,2.8235682223226424,0.9684255967457551,0.9702181748443256,218.36870803833008,218.85852142333985,3581.4241366708907,2082.067100940792,5.401865291595459,20.465687808990477,21.7,101.18,9.841008203502934,37.283973358602616,0.9684255967457551,0.9702181748443256,218.36870803833008,218.85852142333985,1.4744178817828961,1.1976741389306138,0.8954282442728678,0.969919411827897,52.50645260620117,559.670385654994
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,14,3.055936838785478,0.7434309798479081,0.7689857557415962,nan,0.8059709966182709,5.387445960044861,1000.0,nan,nan,0,0,0,10898,0.9132403214772542,0.8897999542951583,1.189813085308227,2.8836017650368135,0.9447834764231079,0.9651615526736347,213.29954630533854,217.68597335815429,3636.285832506096,1970.9273518176324,5.3814288457234705,22.985164012908935,36.2,103.55,9.738636364217315,41.595672917147155,0.9447834764231079,0.9651615526736347,213.29954630533854,217.68597335815429,1.5285708212539444,1.204198933611744,0.8928573934928231,0.9625035427279138,49.936181060791014,503.27404533870924
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,15,3.1472170811203783,0.7462464809417725,0.7549004603922367,nan,0.8316799827984401,5.545283403396606,1000.0,nan,nan,0,0,0,10968,0.8731649262564523,0.8779644012451172,1.2432419263034347,2.948102711791387,0.9698759360865898,0.9657449896811932,218.8382800874256,217.72967742919923,3900.3467048409666,1877.1512067236647,5.407642160143171,25.62374900817871,29.666666666666668,103.45,9.721050432612634,46.06254426689326,0.9698759360865898,0.9657449896811932,218.8382800874256,217.72967742919923,1.5842140834010252,1.2104978531756534,0.8771314345115473,0.9664619307928737,52.73714324951172,539.2448029480536
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,16,3.27764752219566,0.7489499813318252,0.7422504535317421,nan,1.0128030374646186,5.741728439331054,1000.0,nan,nan,0,0,0,11810,0.8725031435489654,0.8746665179729461,1.2760581786532406,3.0196699739936843,0.9607894433036771,0.9589459372250735,216.58042068481444,216.28801147460936,4017.864782880139,1762.9819737047637,5.428129053115844,28.351474800109862,51.55,107.79,9.693042541228067,50.62739825359776,0.9607894433036771,0.9589459372250735,216.58042068481444,216.28801147460936,1.6247805377213294,1.2242876552639825,0.8743059555689494,0.9592531882381742,51.920819122314455,513.3109860561583
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,17,3.432841399695738,0.7517854805290699,0.7306289887428283,nan,0.7078898400068283,5.944422082901001,1000.0,nan,nan,0,0,0,10802,0.857449910706944,0.874154144525528,1.3362422951612263,3.098294094477378,0.963929311535608,0.9498365371746691,217.66404045952692,214.18477890014648,4202.626208667739,1659.706759985204,5.435254732767741,31.184075775146486,28.88888888888889,102.82,9.641277002510723,55.315588210227695,0.963929311535608,0.9498365371746691,217.66404045952692,214.18477890014648,1.6886526550244567,1.2298651735188724,0.8716060410616762,0.9519862824161682,50.67286123657227,483.23589550907946
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,18,3.5235407899821922,0.7541584806144237,0.7205128231644631,nan,0.8616628618467421,6.126463270187378,1000.0,nan,nan,0,0,0,11156,0.8294913059189206,0.8722104120254517,1.3858087505447307,3.186044103120243,0.9776910443638351,0.9420090475749322,220.65039789109002,212.4535498046875,4377.937118396824,1549.7845597470896,5.469625041598365,34.12538040161133,34.476190476190474,104.32,9.637777958512828,60.13078347403577,0.9776910443638351,0.9420090475749322,220.65039789109002,212.4535498046875,1.7458558210598332,1.240066287085723,0.8647963522879545,0.9482017908192873,51.75802667236328,493.8302709220845
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,19,3.5661907838461557,0.756494479328394,0.7109897255897522,nan,0.8416834622621536,6.224639310836792,1000.0,nan,nan,0,0,0,11270,0.8469851248794131,0.8601121962070465,1.4352682913613517,3.2725220467189287,0.9534961825535344,0.9426406310172222,214.97125498453775,212.56959930419922,4409.308052539183,1464.8477135212236,5.498359441757202,37.16235092163086,41.72222222222222,105.19,9.624034963867558,65.04699599904482,0.9534961825535344,0.9426406310172222,214.97125498453775,212.56959930419922,1.802719042432867,1.2487434518476281,0.8581097615977465,0.9442965626075069,50.2528850402832,451.70463259565526
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,20,3.6069335460317946,0.7584419803321362,0.7025844258069992,nan,0.731716042215174,6.36362735748291,1000.0,nan,nan,0,0,0,11266,0.8545477200638164,0.8554074382781982,1.4949531631221078,3.3580977789694697,0.9378170077670432,0.9371131300259472,211.60109294544566,211.46151107788086,4562.2168394097525,1387.8841415036889,5.47849889235063,40.2525768661499,35.40909090909091,104.87,9.525556259376513,69.98781838922174,0.9378170077670432,0.9371131300259472,211.60109294544566,211.46151107788086,1.86758208629158,1.2548816879954792,0.8552524071247851,0.9372400587989318,51.60275030517578,478.3143692347668
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,21,3.6579202173625394,0.7603542317450046,0.6949754382669926,nan,0.8138619164625803,6.435231008529663,1000.0,nan,nan,0,0,0,10734,0.8325566371281942,0.8432645010948181,1.5266955734918628,3.432154552311476,0.9463111980063422,0.9376315721670051,213.10191650390624,211.4215850830078,4744.32273712904,1336.6230416432036,5.503904215494791,43.41584987640381,30.666666666666668,102.74,9.506142909268606,74.98627470488124,0.9463111980063422,0.9376315721670051,213.10191650390624,211.4215850830078,1.9077873692557854,1.265052118192356,0.8418678231861281,0.9387636972764839,48.67737451171875,409.6542904425119
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,22,3.701178847467384,0.762100979834795,0.6875005353987217,nan,0.8895760884751445,6.6056139945983885,1000.0,nan,nan,0,0,0,11346,0.7921713784984921,0.8453848540782929,1.5743760609037032,3.502611547345174,0.9693051734720676,0.9266003590143602,218.55678392493206,209.03160659790038,4862.603211525444,1264.3977337267968,5.55687549839849,46.61852733612061,36.04347826086956,105.17,9.5338615675888,79.98282240361897,0.9693051734720676,0.9266003590143602,218.55678392493206,209.03160659790038,1.9600231581919971,1.2698095551412125,0.8354343667747529,0.9345858121243379,51.859933380126954,476.5592944755297
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,23,3.7352084076494156,0.7640067313611507,0.6810668934881687,nan,0.7911182112163968,6.660890974998474,1000.0,nan,nan,0,0,0,10944,0.7949920975499682,0.8339346903562546,1.6288702527797438,3.5559905899911657,0.9574192697786097,0.9264780712254107,216.03883022732205,209.053992767334,4831.184962059728,1208.8651217393674,5.57740412818061,49.90801616668701,32.22222222222222,103.64,9.505500572767227,85.05761199213521,0.9574192697786097,0.9264780712254107,216.03883022732205,209.053992767334,2.014294320222028,1.2669591163294638,0.8279942948434312,0.9311979150725089,49.58819644165039,415.6956829820237
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,24,3.7638014898723346,0.7657019813358784,0.6748108179867267,nan,0.8151250120840574,6.772960705757141,1000.0,nan,nan,0,0,0,11032,0.7844443305542594,0.8308454656600952,1.6776921726927443,3.605427092496397,0.9561899562634252,0.9196895306040618,215.54380557411596,207.54700759887695,5073.438044227948,1166.5196823539277,5.5846798043502,53.22774108886719,33.36842105263158,103.98,9.45465878749627,90.11262017787062,0.9561899562634252,0.9196895306040618,215.54380557411596,207.54700759887695,2.063239156653475,1.2649965522950257,0.8234368810633651,0.9255173296589179,49.7000661315918,426.0945821514476
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,25,3.8163616035483985,0.7670197312533855,0.6694803254306316,nan,0.6765296352761132,6.870991654396057,1000.0,nan,nan,0,0,0,10794,0.8657616462026324,0.8269868153333664,1.7349856450234717,3.650464983912699,0.8833457181270113,0.9135435867714566,199.1885768345424,206.01231170654296,4785.100493832203,1129.641553436436,5.564268861498151,56.605161361694336,34.642857142857146,103.09,9.35751198644783,95.1937243007797,0.8833457181270113,0.9135435867714566,199.1885768345424,206.01231170654296,2.118081512801317,1.2587311553469207,0.8317486366681885,0.9098350765870511,46.77974249267578,359.9111245145889
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,26,3.8690281984685244,0.7684292304515838,0.6639987356960774,nan,0.7456401761840371,6.824383432865143,1000.0,nan,nan,0,0,0,10426,0.7307722954189076,0.806947971880436,1.7787993756444027,3.69067792863693,0.9786400343630717,0.9199046582277507,221.09154555376838,207.48878814697267,5338.539934524594,1086.6908947748268,5.618307001450482,60.033359870910644,19.647058823529413,100.92,9.385608953749948,100.288154382209,0.9786400343630717,0.9199046582277507,221.09154555376838,207.48878814697267,2.161175086242908,1.255685524162015,0.7958797111979916,0.9284388581790367,49.01487017822266,398.8485367288016
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,27,3.9130455370640655,0.7698892313241958,0.6591877236962318,nan,0.7934758702050084,6.767347464561462,1000.0,nan,nan,0,0,0,10700,0.761891879465269,0.7870516908168793,1.830977594014994,3.72539057410068,0.9451463509881544,0.9259398669209515,213.10061645507812,208.92075286865236,5328.23620928218,1072.4216281438185,5.597169938294784,63.44021961212158,23.782608695652176,101.53,9.2881706345326,105.27527149356553,0.9451463509881544,0.9259398669209515,213.10061645507812,208.92075286865236,2.209860190032131,1.2476021844449534,0.78234701064544,0.9295313232912416,51.58677893066406,459.58319125574394
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,28,3.9821697477322138,0.7712042310833931,0.6545230570435524,nan,0.745907893547645,6.794813334941864,1000.0,nan,nan,0,0,0,11646,0.7845973899731269,0.7781080901622772,1.8949162098956192,3.762539447210176,0.9185815319811641,0.9234860392716361,207.16648982121393,208.2240185546875,5153.3896040587415,1045.907765844137,5.625114826055674,66.81950492858887,38.88461538461539,106.35,9.2725201978279,110.14623313808046,0.9185815319811641,0.9234860392716361,207.16648982121393,208.2240185546875,2.26844085735853,1.2368782562161684,0.7794471520280081,0.9224739980847133,52.417461181640626,477.157812579882
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,29,4.027647046930814,0.772358980178833,0.6502398325502873,nan,0.7154934273825752,6.7763748812675475,1000.0,nan,nan,0,0,0,10784,0.7349288215239843,0.7648588380217552,1.9249729213603382,3.796799239730469,0.9466066732472834,0.924211132324976,213.8164087931315,208.46488159179688,5440.938923062935,1024.5237275450315,5.607572714487712,70.21202751159667,28.27777777777778,102.75,9.182184462944134,114.96949231940306,0.9466066732472834,0.924211132324976,213.8164087931315,208.46488159179688,2.2993381850343644,1.2360665278014293,0.7602932422848071,0.927627401279226,49.39036703491211,400.778546739272
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,30,4.081118244541897,0.7735354802012444,0.6461285363137722,nan,0.787522004200862,6.742898066043853,1000.0,nan,nan,0,0,0,11106,0.7469703532182254,0.7507810327410698,1.9848059980496129,3.830236275960085,0.9282671933903158,0.9254441725666137,209.31914402888373,208.91804306030272,5486.399525630328,1007.7076451446634,5.65833592414856,73.59719108581542,29.115384615384617,103.49,9.203743988527263,119.71182236418623,0.9282671933903158,0.9254441725666137,209.31914402888373,208.91804306030272,2.353892053631707,1.2246386392970667,0.7499947020458797,0.926026700673092,52.6682041015625,486.83430436170977
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,31,4.1346916778873535,0.7747442302107811,0.6421583741903305,nan,1.0048606220413656,6.634855940341949,1000.0,nan,nan,0,0,0,10838,0.7349081845844493,0.729383664727211,2.0089111849103625,3.8626546826556964,0.9278777413607961,0.931929683634688,209.39029289694395,210.1816096496582,5421.3444140055435,993.7342738515939,5.712566291584688,76.96612838745118,31.0,103.11,9.230213764832158,124.35983783929433,0.9278777413607961,0.931929683634688,209.39029289694395,210.1816096496582,2.3796598844594294,1.2258315233184813,0.7301863727406559,0.9313409398854903,49.155591888427736,383.0725648465072
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,32,4.186887187740798,0.7756822288036347,0.6387512512505055,nan,0.8536152005195617,6.676395127773285,1000.0,nan,nan,0,0,0,11440,0.7451713770627976,0.7252645933628082,2.060064458452167,3.8961975616815083,0.9111925962383551,0.9256478880533368,205.58123321533202,208.7751628112793,5396.748582620826,982.9657691695159,5.704846835136413,80.2817315673828,42.45,105.91,9.156493649387446,128.85519743160486,0.9111925962383551,0.9256478880533368,205.58123321533202,208.7751628112793,2.4272910790980355,1.2162631543448974,0.7285823906461398,0.9232386727508397,49.97828189086914,412.46309713873615
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,33,4.212901105194987,0.7767459787428379,0.6353307250142097,nan,0.9246692781647047,6.550714912414551,1000.0,nan,nan,0,0,0,10802,0.7090841142667664,0.7037035501003266,2.092144574307528,3.927727417869786,0.9280700681179179,0.9319382833964249,209.12681833902994,210.24038894653322,5627.962299559078,968.3780436854739,5.7624670134650335,83.61780464172364,28.88888888888889,102.82,9.187521437367998,133.31796449269982,0.9280700681179179,0.9319382833964249,209.12681833902994,210.24038894653322,2.4592611430199796,1.2124862049765235,0.7045243141257157,0.9313482166590259,49.57664324951172,396.2822515212216
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,34,4.270734627392358,0.7776439793407917,0.6320605272054672,nan,0.9361226019160501,6.573956198692322,1000.0,nan,nan,0,0,0,11926,0.6943776607513428,0.6987702026963234,2.1290504848238188,3.9621928380877733,0.9293032338130903,0.926176752815163,209.90347816204203,208.84585342407226,5644.271996964845,956.5972796474844,5.821771194194925,86.89228050231934,40.827586206896555,107.42,9.220399732565973,137.6181806499913,0.9293032338130903,0.926176752815163,209.90347816204203,208.84585342407226,2.4956789554766097,1.2106346221729036,0.6977827320265215,0.9268796051325264,53.94357241821289,518.6872317534578
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,35,4.3579496325962115,0.7785282306373119,0.6291235625743866,nan,0.9297582656145096,6.475243864059448,1000.0,nan,nan,0,0,0,11106,0.6955708172172308,0.6815022027492523,2.163515533818164,3.995699812818582,0.919215708988532,0.929129694042961,207.30788898468018,209.50922988891602,5667.136480830871,945.7976748726136,5.831177264451981,90.17751396179199,40.875,104.52,9.173932998071557,141.87228984812737,0.919215708988532,0.929129694042961,207.30788898468018,209.50922988891602,2.5299523896182476,1.2071171481130336,0.6834427012965597,0.9277622478285569,48.53569842529297,370.5079023611106
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,36,4.425689932088266,0.7791504794359208,0.626548043936491,nan,0.7596302628517151,6.509598419666291,1000.0,nan,nan,0,0,0,11030,0.7636456205086275,0.678809954226017,2.225625975855999,4.02943337088668,0.8625751812053702,0.9217630171772097,194.6006518277255,207.8664144897461,5466.562922224243,930.9197784150497,5.738593166524714,93.41446563720703,31.272727272727273,103.42,8.968286222545144,145.98833561639844,0.8625751812053702,0.9217630171772097,194.6006518277255,207.8664144897461,2.5863874548621353,1.189941357048492,0.6941081891294385,0.911089800854419,50.13571157836914,426.7127242608766
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,37,4.523731196650351,0.780083478987217,0.6239761497080326,nan,0.8742575070687703,6.436528990268707,1000.0,nan,nan,0,0,0,10622,0.7511291716779981,0.6653082922101021,2.269641735045717,4.0660073004018935,0.8626379556535166,0.9219173833874827,194.38812146868025,207.93707702636718,5533.859028970074,917.6577482498003,5.83860410962786,96.66918952941894,29.142857142857142,102.14,9.063955309574677,150.071009654961,0.8626379556535166,0.9219173833874827,194.38812146868025,207.93707702636718,2.628914848116952,1.1820012120097438,0.6758476984605455,0.9146374536657679,47.030282806396485,338.4796024611222
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,38,4.603616979798268,0.7807979811728001,0.6213566063344479,nan,0.9405395518988371,6.165283324718476,1000.0,nan,nan,0,0,0,12040,0.6103189522400498,0.6320198589563369,2.293502600830132,4.097846855942283,0.9503492396768226,0.9355088270286367,214.26215934753418,211.1470411682129,6108.463877161412,915.6263147900875,5.836137071251869,99.88798248291016,40.03125,107.59,8.99992548751147,154.0375745923334,0.9503492396768226,0.9355088270286367,214.26215934753418,211.1470411682129,2.6543714518525623,1.1858103342682016,0.6267590330857219,0.9391065028221364,55.942186431884764,574.0669510963479
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,39,4.684838377894713,0.7814784799516201,0.6188539278507232,nan,0.716638620197773,6.138851625919342,1000.0,nan,nan,0,0,0,11194,0.6499461278319358,0.6243848276138305,2.330402129114554,4.130809152067827,0.9140632550942541,0.931369709128034,206.3066207885742,210.06759094238282,5808.880266471921,924.2183765681664,5.77340190410614,102.96973533630371,36.4,104.66,8.84402425424663,157.73487657596553,0.9140632550942541,0.931369709128034,206.3066207885742,210.06759094238282,2.6904835337052084,1.1804485362862898,0.6286450443168481,0.9284853001224038,50.26578302001953,417.1988859725101
